赛事,时间,主队,比分,客队,赛果,平均欧指胜,平均欧指平,平均欧指败,澳门盘口,盘路,大小
德甲,2017/1/28,莱比锡,"2:1
                                                                                    	 (1:1)",霍  芬,负,1.74,3.7,4.72,半球/一球,输半,大
德甲,2017/1/21,奥格斯,"0:2
                                                                                    	 (0:0)",霍  芬,胜,2.81,3.17,2.59,平手,赢,小
球会友谊,2017/1/15,格罗萨,"1:4
                                                                                    	 (1:1)",霍  芬,胜,5.12,3.62,1.61,NULL,赢,大
球会友谊,2017/1/14,霍  芬,"2:0
                                                                                    	 (2:0)",奥尔堡,胜,1.16,6.65,12.48,NULL,赢,小
球会友谊,2017/1/8,霍  芬,"2:1
                                                                                    	 (2:0)",格罗宁,胜,1.57,4.06,4.76,半球/一球,赢半,大
德甲,2016/12/22,霍  芬,"1:1
                                                                                    	 (1:0)",不来梅,平,1.59,4.3,5.17,一球,输,小
德甲,2016/12/17,霍  芬,"2:2
                                                                                    	 (2:1)",多  特,平,3.97,3.98,1.82,受半球,赢,大
德甲,2016/12/10,法兰克,"0:0
                                                                                    	 (0:0)",霍  芬,平,2.35,3.34,3.02,平手/半球,赢半,小
德甲,2016/12/3,霍  芬,"4:0
                                                                                    	 (2:0)",科  隆,胜,2.03,3.53,3.57,半球,赢,大
德甲,2016/11/26,门  兴,"1:1
                                                                                    	 (1:0)",霍  芬,平,1.94,3.7,3.71,半球,赢,小
德甲,2016/11/20,霍  芬,"2:2
                                                                                    	 (1:1)",汉  堡,平,1.5,4.38,6.27,一球/球半,输,大
球会友谊,2016/11/10,霍  芬,"4:5
                                                                                    	 (2:2)",海 登,负,NULL,NULL,NULL,NULL,输,大
德甲,2016/11/5,拜  仁,"1:1
                                                                                    	 (1:1)",霍  芬,平,1.17,7.86,14.32,两球/两球半,赢,小
德甲,2016/10/30,霍  芬,"1:0
                                                                                    	 (1:0)",赫  塔,胜,2.07,3.48,3.52,半球,赢,小
球会友谊,2017/5/24,辽宁宏运,"0:5
                                                                                    	 (0:5)",科  隆,胜,10.52,6.54,1.16,NULL,赢,大
德甲,2017/5/20,科  隆,"2:0
                                                                                    	 (1:0)",美因茨,胜,1.53,4.4,5.78,一球,赢,小
德甲,2017/5/13,勒  沃,"2:2
                                                                                    	 (0:1)",科  隆,平,2.1,3.42,3.46,平手/半球,赢半,大
德甲,2017/5/6,科  隆,"4:3
                                                                                    	 (3:2)",不来梅,胜,2.42,3.5,2.81,平手,赢,大
德甲,2017/4/29,多  特,"0:0
                                                                                    	 (0:0)",科  隆,平,1.28,5.83,9.7,球半,赢,小
德甲,2017/4/22,科  隆,"1:1
                                                                                    	 (0:0)",霍  芬,平,2.96,3.44,2.34,受平手/半球,赢半,小
德甲,2017/4/15,奥格斯,"2:1
                                                                                    	 (2:0)",科  隆,负,2.77,3.17,2.63,平手,输,大
德甲,2017/4/8,科  隆,"2:3
                                                                                    	 (1:1)",门  兴,负,2.66,3.23,2.69,平手,输,大
德甲,2017/4/5,科  隆,"1:0
                                                                                    	 (0:0)",法兰克,胜,2.29,3.16,3.31,平手/半球,赢,小
德甲,2017/4/1,汉  堡,"2:1
                                                                                    	 (1:1)",科  隆,负,2.2,3.25,3.43,平手/半球,输,大
德甲,2017/3/18,科  隆,"4:2
                                                                                    	 (3:0)",赫  塔,胜,2.4,3.11,3.15,平手/半球,赢,大
德甲,2017/3/12,因戈尔,"2:2
                                                                                    	 (1:1)",科  隆,平,2.51,3.09,2.99,平手/半球,赢半,大
德甲,2017/3/4,科  隆,"0:3
                                                                                    	 (0:1)",拜  仁,负,9.1,4.88,1.36,受球半,输,大
德甲,2017/2/25,莱比锡,"3:1
                                                                                    	 (2:0)",科  隆,负,1.67,3.71,5.36,半球/一球,输,大
德甲,2017/2/20,科  隆,"1:1
                                                                                    	 (1:1)",沙尔克,平,2.63,3.13,2.81,平手,走盘,小
德甲,2017/2/13,弗赖堡,"2:1
                                                                                    	 (1:1)",科  隆,负,2.65,3.15,2.77,平手,输,大
德国杯,2017/2/8,汉  堡,"2:0
                                                                                    	 (1:0)",科  隆,负,2.75,3.1,2.6,平手,输,小
德甲,2017/2/4,科  隆,"1:0
                                                                                    	 (0:0)",沃尔夫,胜,2.06,3.38,3.66,半球,赢,小
德甲,2017/1/28,达姆施,"1:6
                                                                                    	 (0:3)",科  隆,胜,3.65,3.21,2.12,受半球,赢,大
球会友谊,2017/1/11,科  隆,"0:0
                                                                                    	 (0:0)",斯图加,平,2.07,3.32,3.22,半球,输,小
球会友谊,2017/1/7,波  鸿,"0:1
                                                                                    	 (0:1)",科  隆,胜,3.77,3.5,1.84,受半球,赢,小
德甲,2016/12/22,科  隆,"1:1
                                                                                    	 (1:1)",勒  沃,平,2.77,3.23,2.59,平手,走盘,小
德甲,2016/12/17,不来梅,"1:1
                                                                                    	 (1:1)",科  隆,平,2.64,3.33,2.64,平手,走盘,小
德甲,2016/12/10,科  隆,"1:1
                                                                                    	 (1:0)",多  特,平,5.09,4.14,1.62,受一球,赢,小
德甲,2016/12/3,霍  芬,"4:0
                                                                                    	 (2:0)",科  隆,负,2.03,3.53,3.57,半球,输,大
德甲,2016/11/26,科  隆,"0:0
                                                                                    	 (0:0)",奥格斯,平,1.83,3.44,4.63,半球,输,小
德甲,2016/11/19,门  兴,"1:2
                                                                                    	 (1:0)",科  隆,胜,2.03,3.37,3.76,半球,赢,大
德甲,2016/11/6,法兰克,"1:0
                                                                                    	 (1:0)",科  隆,负,2.54,3.2,2.88,平手/半球,输,小
德甲,2016/10/31,科  隆,"3:0
                                                                                    	 (0:0)",汉  堡,胜,1.61,3.94,5.61,半球/一球,赢,大
德甲,2017/5/20,赫  塔,"2:6
                                                                                    	 (0:3)",勒  沃,负,2.1,3.51,3.39,平手/半球,输,大
德甲,2017/5/13,达姆施,"0:2
                                                                                    	 (0:2)",赫  塔,胜,2.95,3.38,2.41,平手,赢,小
德甲,2017/5/7,赫  塔,"1:4
                                                                                    	 (0:1)",莱比锡,负,3.49,3.4,2.11,受半球,输,大
德甲,2017/4/29,不来梅,"2:0
                                                                                    	 (2:0)",赫  塔,负,1.8,3.75,4.33,半球/一球,输,小
德甲,2017/4/22,赫  塔,"1:0
                                                                                    	 (0:0)",沃尔夫,胜,2.64,3.21,2.73,平手,赢,小
德甲,2017/4/15,美因茨,"1:0
                                                                                    	 (1:0)",赫  塔,负,2.17,3.25,3.49,平手/半球,输,小
德甲,2017/4/9,赫  塔,"2:0
                                                                                    	 (2:0)",奥格斯,胜,1.82,3.43,4.69,半球,赢,小
德甲,2017/4/6,门  兴,"1:0
                                                                                    	 (1:0)",赫  塔,负,1.83,3.45,4.61,半球,输,小
德甲,2017/4/1,赫  塔,"1:3
                                                                                    	 (1:1)",霍  芬,负,2.82,3.2,2.58,平手,输,大
球会友谊,2017/3/24,赫  塔,"3:1
                                                                                    	 (0:0)",柏林青,胜,NULL,NULL,NULL,NULL,赢,大
德甲,2017/3/18,科  隆,"4:2
                                                                                    	 (3:0)",赫  塔,负,2.4,3.11,3.15,平手/半球,输,大
德甲,2017/3/11,赫  塔,"2:1
                                                                                    	 (1:0)",多  特,胜,4.58,3.7,1.78,受半球,赢,大
德甲,2017/3/6,汉  堡,"1:0
                                                                                    	 (0:0)",赫  塔,负,2.54,3.13,2.93,平手,输,小
德甲,2017/2/26,赫  塔,"2:0
                                                                                    	 (0:0)",法兰克,胜,2.01,3.21,4.06,半球,赢,小
德甲,2017/2/18,赫  塔,"1:1
                                                                                    	 (1:0)",拜  仁,平,8.2,4.43,1.41,受一球/球半,赢,小
德甲,2017/2/12,沙尔克,"2:0
                                                                                    	 (1:0)",赫  塔,负,1.79,3.49,4.79,半球/一球,输,小
德国杯,2017/2/9,多  特,"1:1
                                                                                    	 (0:1)",赫  塔,平,1.34,4.96,8.58,球半,赢,小
德甲,2017/2/4,赫  塔,"1:0
                                                                                    	 (1:0)",因戈尔,胜,2.14,3.11,3.77,平手/半球,赢,小
德甲,2017/1/29,弗赖堡,"2:1
                                                                                    	 (1:0)",赫  塔,负,2.45,3.18,2.98,平手,输,大
德甲,2017/1/22,勒  沃,"3:1
                                                                                    	 (2:1)",赫  塔,负,1.76,3.53,4.86,半球,输,大
球会友谊,2017/1/11,马洛卡,"1:1
                                                                                    	 (0:0)",赫  塔,平,5.54,3.75,1.54,受半球/一球,输,小
德甲,2016/12/22,赫  塔,"2:0
                                                                                    	 (0:0)",达姆施,胜,1.67,3.62,5.61,半球/一球,赢,小
德甲,2016/12/17,莱比锡,"2:0
                                                                                    	 (1:0)",赫  塔,负,1.63,3.82,5.58,半球/一球,输,小
德甲,2016/12/11,赫  塔,"0:1
                                                                                    	 (0:1)",不来梅,负,1.65,3.85,5.32,半球/一球,输,小
德甲,2016/12/3,沃尔夫,"2:3
                                                                                    	 (2:1)",赫  塔,胜,2.18,3.25,3.49,平手/半球,赢,大
德甲,2016/11/28,赫  塔,"2:1
                                                                                    	 (1:1)",美因茨,胜,1.96,3.4,4.01,半球,赢,大
德甲,2016/11/19,奥格斯,"0:0
                                                                                    	 (0:0)",赫  塔,平,2.62,3.08,2.86,平手,走盘,小
球会友谊,2016/11/11,赫  塔,"2:2
                                                                                    	 (0:1)",BFC维,平,1.46,4.36,5.67,NULL,走盘,大
德甲,2016/11/5,赫  塔,"3:0
                                                                                    	 (2:0)",门  兴,胜,2.66,3.18,2.77,平手,赢,大
德甲,2016/10/30,霍  芬,"1:0
                                                                                    	 (1:0)",赫  塔,负,2.07,3.48,3.52,半球,输,小
德甲,2017/5/20,拜  仁,"4:1
                                                                                    	 (1:0)",弗赖堡,负,1.15,8.47,14.77,两球半,输,大
德甲,2017/5/13,弗赖堡,"1:1
                                                                                    	 (1:1)",因戈尔,平,2.41,3.48,2.81,平手/半球,输半,小
德甲,2017/5/7,弗赖堡,"2:0
                                                                                    	 (2:0)",沙尔克,胜,3.5,3.5,2.06,受半球,赢,小
德甲,2017/4/29,达姆施,"3:0
                                                                                    	 (2:0)",弗赖堡,负,3.37,3.47,2.12,受半球,输,大
德甲,2017/4/23,弗赖堡,"2:1
                                                                                    	 (1:0)",勒  沃,胜,3.44,3.43,2.1,受半球,赢,大
德甲,2017/4/15,莱比锡,"4:0
                                                                                    	 (2:0)",弗赖堡,负,1.39,4.71,7.94,一球/球半,输,大
德甲,2017/4/8,弗赖堡,"1:0
                                                                                    	 (0:0)",美因茨,胜,2.63,3.25,2.73,平手,赢,小
德甲,2017/4/6,沃尔夫,"0:1
                                                                                    	 (0:0)",弗赖堡,胜,1.65,3.86,5.3,一球,赢,小
德甲,2017/4/1,弗赖堡,"2:5
                                                                                    	 (0:2)",不来梅,负,2.23,3.38,3.2,平手/半球,输,大
德甲,2017/3/18,奥格斯,"1:1
                                                                                    	 (1:1)",弗赖堡,平,2.32,3.19,3.21,平手/半球,赢半,小
德甲,2017/3/11,弗赖堡,"1:1
                                                                                    	 (0:0)",霍  芬,平,3.2,3.45,2.21,受平手/半球,赢半,小
德甲,2017/3/5,法兰克,"1:2
                                                                                    	 (1:1)",弗赖堡,胜,2.09,3.23,3.74,半球,赢,大
德甲,2017/2/25,弗赖堡,"0:3
                                                                                    	 (0:1)",多  特,负,5.88,4.47,1.51,受一球/球半,输,大
德甲,2017/2/19,汉  堡,"2:2
                                                                                    	 (1:1)",弗赖堡,平,1.95,3.45,4.01,半球,赢,大
德甲,2017/2/13,弗赖堡,"2:1
                                                                                    	 (1:1)",科  隆,胜,2.65,3.15,2.77,平手,赢,大
德甲,2017/2/4,门  兴,"3:0
                                                                                    	 (0:0)",弗赖堡,负,1.69,3.81,5.1,半球/一球,输,大
德甲,2017/1/29,弗赖堡,"2:1
                                                                                    	 (1:0)",赫  塔,胜,2.45,3.18,2.98,平手,赢,大
德甲,2017/1/21,弗赖堡,"1:2
                                                                                    	 (1:1)",拜  仁,负,12.86,6.3,1.22,受两球,赢,大
球会友谊,2017/1/13,弗赖堡,"1:3
                                                                                    	 (1:2)",布鲁日,负,2.75,3.34,2.34,NULL,输,大
球会友谊,2017/1/12,布拉格,"0:0
                                                                                    	 (0:0)",弗赖堡,平,2.15,3.49,2.88,平手/半球,赢半,小
球会友谊,2017/1/8,埃因霍,"2:1
                                                                                    	 (0:0)",弗赖堡,负,1.91,3.59,3.47,半球,输,大
球会友谊,2017/1/8,弗赖堡,"3:1
                                                                                    	 (1:1)",瓦杜兹,胜,1.66,3.96,4.23,NULL,赢,大
德甲,2016/12/22,因戈尔,"1:2
                                                                                    	 (0:2)",弗赖堡,胜,1.99,3.34,3.97,半球,赢,大
德甲,2016/12/17,沙尔克,"1:1
                                                                                    	 (0:0)",弗赖堡,平,1.61,4,5.42,半球/一球,赢,小
德甲,2016/12/10,弗赖堡,"1:0
                                                                                    	 (0:0)",达姆施,胜,1.75,3.63,4.82,半球/一球,赢半,小
德甲,2016/12/3,勒  沃,"1:1
                                                                                    	 (0:1)",弗赖堡,平,1.5,4.35,6.41,一球/球半,赢,小
德甲,2016/11/26,弗赖堡,"1:4
                                                                                    	 (1:3)",莱比锡,负,3.85,3.55,1.95,受半球,输,大
德甲,2016/11/19,美因茨,"4:2
                                                                                    	 (2:0)",弗赖堡,负,2.06,3.45,3.57,半球,输,大
德甲,2016/11/5,弗赖堡,"0:3
                                                                                    	 (0:1)",沃尔夫,负,2.53,3.31,2.8,平手,输,大
德甲,2016/10/29,不来梅,"1:3
                                                                                    	 (0:2)",弗赖堡,胜,2.27,3.45,3.06,平手/半球,赢,大
德甲,2017/5/20,多  特,"4:3
                                                                                    	 (2:1)",不来梅,负,1.18,8.22,11.87,两球半,赢,大
德甲,2017/5/13,不来梅,"3:5
                                                                                    	 (0:3)",霍  芬,负,2.78,3.85,2.29,受平手/半球,输,大
德甲,2017/5/6,科  隆,"4:3
                                                                                    	 (3:2)",不来梅,负,2.42,3.5,2.81,平手,输,大
德甲,2017/4/29,不来梅,"2:0
                                                                                    	 (2:0)",赫  塔,胜,1.8,3.75,4.33,半球/一球,赢,小
德甲,2017/4/22,因戈尔,"2:4
                                                                                    	 (1:1)",不来梅,胜,2.24,3.48,3.09,平手/半球,赢,大
德甲,2017/4/16,不来梅,"2:1
                                                                                    	 (1:1)",汉  堡,胜,2.11,3.51,3.36,半球,赢,大
德甲,2017/4/8,法兰克,"2:2
                                                                                    	 (0:2)",不来梅,平,2.02,3.47,3.68,半球,赢,大
德甲,2017/4/5,不来梅,"3:0
                                                                                    	 (1:0)",沙尔克,胜,2.94,3.42,2.37,受平手/半球,赢,大
德甲,2017/4/1,弗赖堡,"2:5
                                                                                    	 (0:2)",不来梅,胜,2.23,3.38,3.2,平手/半球,赢,大
球会友谊,2017/3/23,奥尔登堡,"0:6
                                                                                    	 (0:1)",不来梅,胜,5.58,4.49,1.44,NULL,赢,大
德甲,2017/3/18,不来梅,"3:0
                                                                                    	 (1:0)",莱比锡,胜,3.36,3.46,2.14,受平手/半球,赢,大
德甲,2017/3/11,勒  沃,"1:1
                                                                                    	 (1:0)",不来梅,平,1.53,4.35,5.94,一球,赢,小
德甲,2017/3/4,不来梅,"2:0
                                                                                    	 (0:0)",达姆施,胜,1.68,3.86,5,半球/一球,赢,小
德甲,2017/2/25,沃尔夫,"1:2
                                                                                    	 (1:2)",不来梅,胜,1.95,3.6,3.82,半球,赢,大
德甲,2017/2/18,美因茨,"0:2
                                                                                    	 (0:2)",不来梅,胜,1.98,3.53,3.74,半球,赢,小
德甲,2017/2/11,不来梅,"0:1
                                                                                    	 (0:1)",门  兴,负,2.77,3.42,2.49,平手,输,小
德甲,2017/2/5,奥格斯,"3:2
                                                                                    	 (1:1)",不来梅,负,2.08,3.39,3.6,平手/半球,输,大
德甲,2017/1/28,不来梅,"1:2
                                                                                    	 (0:2)",拜  仁,负,14.07,6.82,1.19,受两球,赢,大
德甲,2017/1/21,不来梅,"1:2
                                                                                    	 (0:1)",多  特,负,5.26,4.35,1.58,受一球,走盘,大
球会友谊,2017/1/14,不伦瑞,"2:1
                                                                                    	 (1:1)",不来梅,负,2.57,3.23,2.53,NULL,输,大
球会友谊,2017/1/10,不来梅,"1:1
                                                                                    	 (0:0)",布鲁日,平,3.17,3.58,1.99,受平手/半球,赢半,小
德甲,2016/12/22,霍  芬,"1:1
                                                                                    	 (1:0)",不来梅,平,1.59,4.3,5.17,一球,赢,小
德甲,2016/12/11,赫  塔,"0:1
                                                                                    	 (0:1)",不来梅,胜,1.65,3.85,5.32,半球/一球,赢,小
德甲,2016/12/3,不来梅,"2:1
                                                                                    	 (1:0)",因戈尔,胜,2.34,3.37,3.03,平手/半球,赢,大
德甲,2016/11/26,汉  堡,"2:2
                                                                                    	 (2:2)",不来梅,平,2.34,3.43,2.97,平手/半球,赢半,大
德甲,2016/11/21,不来梅,"1:2
                                                                                    	 (1:0)",法兰克,负,2.62,3.35,2.67,平手,输,大
球会友谊,2016/11/12,奥斯纳,"1:5
                                                                                    	 (0:1)",不来梅,胜,2.85,3.43,2.22,NULL,赢,大
德甲,2016/11/7,沙尔克,"3:1
                                                                                    	 (2:1)",不来梅,负,1.55,4.26,5.76,一球,输,大
德甲,2016/10/29,不来梅,"1:3
                                                                                    	 (0:2)",弗赖堡,负,2.27,3.45,3.06,平手/半球,输,大
德甲,2017/5/20,因戈尔,"1:1
                                                                                    	 (1:1)",沙尔克,平,2.4,3.56,2.77,平手/半球,赢半,小
德甲,2017/5/13,沙尔克,"1:1
                                                                                    	 (1:0)",汉  堡,平,1.9,3.72,3.83,半球,输,小
德甲,2017/5/7,弗赖堡,"2:0
                                                                                    	 (2:0)",沙尔克,负,3.5,3.5,2.06,受半球,输,小
德甲,2017/4/29,勒  沃,"1:4
                                                                                    	 (0:3)",沙尔克,胜,2.2,3.44,3.22,平手/半球,赢,大
德甲,2017/4/23,沙尔克,"1:1
                                                                                    	 (0:1)",莱比锡,平,2.98,3.52,2.29,受平手/半球,赢半,小
欧罗巴,2017/4/21,沙尔克,"2:0
                                                                                    	 (0:0)",阿贾克,胜,2.06,3.66,3.38,半球,赢,小
德甲,2017/4/16,达姆施,"2:1
                                                                                    	 (1:0)",沙尔克,负,4.5,3.76,1.76,受半球,输,大
欧罗巴,2017/4/14,阿贾克,"2:0
                                                                                    	 (1:0)",沙尔克,负,2.33,3.3,3.1,平手/半球,输,小
德甲,2017/4/8,沙尔克,"4:1
                                                                                    	 (2:0)",沃尔夫,胜,2.02,3.46,3.66,半球,赢,大
德甲,2017/4/5,不来梅,"3:0
                                                                                    	 (1:0)",沙尔克,负,2.94,3.42,2.37,受平手/半球,输,大
德甲,2017/4/1,沙尔克,"1:1
                                                                                    	 (0:0)",多  特,平,3.73,3.65,1.95,受半球,赢,小
球会友谊,2017/3/24,汉诺威,"3:1
                                                                                    	 (1:0)",沙尔克,负,2.48,3.37,2.55,NULL,输,大
德甲,2017/3/19,美因茨,"0:1
                                                                                    	 (0:0)",沙尔克,胜,2.79,3.26,2.57,平手,赢,小
欧罗巴,2017/3/17,门  兴,"2:2
                                                                                    	 (2:0)",沙尔克,平,2.19,3.42,3.29,平手/半球,赢半,大
德甲,2017/3/12,沙尔克,"3:0
                                                                                    	 (3:0)",奥格斯,胜,1.72,3.59,5.17,半球/一球,赢,大
欧罗巴,2017/3/10,沙尔克,"1:1
                                                                                    	 (1:1)",门  兴,平,2.36,3.24,3.09,平手/半球,输半,小
德甲,2017/3/5,门  兴,"4:2
                                                                                    	 (1:1)",沙尔克,负,2.18,3.29,3.43,平手/半球,输,大
德国杯,2017/3/2,拜  仁,"3:0
                                                                                    	 (3:0)",沙尔克,负,1.2,6.42,13.12,两球,输,大
德甲,2017/2/27,沙尔克,"1:1
                                                                                    	 (1:0)",霍  芬,平,2.07,3.48,3.53,半球,输,小
欧罗巴,2017/2/23,沙尔克,"1:1
                                                                                    	 (1:1)",塞萨洛,平,1.41,4.58,7.85,一球/球半,输,小
欧罗巴,2017/2/17,塞萨洛,"0:3
                                                                                    	 (0:1)",沙尔克,胜,3.68,3.23,2.11,受平手/半球,赢,大
